MovieID,List Index,Title,Genres
61,60,Eye for an Eye (1996),Drama|Thriller
62,61,Mr. Holland's Opus (1995),Drama
63,62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
64,63,Two if by Sea (1996),Comedy|Romance
65,64,Bio-Dome (1996),Comedy
66,65,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
67,66,Two Bits (1995),Drama
68,67,French Twist (Gazon maudit) (1995),Comedy|Romance
69,68,Friday (1995),Comedy
70,69,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
71,70,Fair Game (1995),Action
72,71,Kicking and Screaming (1995),Comedy|Drama
73,72,"Misérables, Les (1995)",Drama|Musical
74,73,Bed of Roses (1996),Drama|Romance
75,74,Big Bully (1996),Comedy|Drama
76,75,Screamers (1995),Sci-Fi|Thriller
77,76,Nico Icon (1995),Documentary
78,77,"Crossing Guard, The (1995)",Drama
79,78,"Juror, The (1996)",Drama|Thriller
80,79,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
81,80,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
82,81,Antonia's Line (Antonia) (1995),Drama
83,82,Once Upon a Time... When We Were Colored (1995),Drama
84,83,Last Summer in the Hamptons (1995),Comedy|Drama
85,84,Angels and Insects (1995),Drama|Romance
86,85,White Squall (1996),Adventure|Drama
87,86,Dunston Checks In (1996),Children's|Comedy
88,87,Black Sheep (1996),Comedy
89,88,Nick of Time (1995),Action|Thriller
90,89,"Journey of August King, The (1995)",Drama
92,90,Mary Reilly (1996),Drama|Thriller
93,91,Vampire in Brooklyn (1995),Comedy|Romance
94,92,Beautiful Girls (1996),Drama
95,93,Broken Arrow (1996),Action|Thriller
96,94,In the Bleak Midwinter (1995),Comedy
97,95,"Hate (Haine, La) (1995)",Drama
98,96,Shopping (1994),Action|Thriller
99,97,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,98,City Hall (1996),Drama|Thriller
101,99,Bottle Rocket (1996),Comedy
102,100,Mr. Wrong (1996),Comedy
103,101,Unforgettable (1996),Thriller
104,102,Happy Gilmore (1996),Comedy
105,103,"Bridges of Madison County, The (1995)",Drama|Romance
106,104,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107,105,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
108,106,Catwalk (1995),Documentary
109,107,Headless Body in Topless Bar (1995),Comedy
110,108,Braveheart (1995),Action|Drama|War
111,109,Taxi Driver (1976),Drama|Thriller
112,110,Rumble in the Bronx (1995),Action|Adventure|Crime
113,111,Before and After (1996),Drama|Mystery
114,112,Margaret's Museum (1995),Drama
115,113,Happiness Is in the Field (1995),Comedy
116,114,Anne Frank Remembered (1995),Documentary
117,115,"Young Poisoner's Handbook, The (1995)",Crime
118,116,If Lucy Fell (1996),Comedy|Romance
119,117,"Steal Big, Steal Little (1995)",Comedy
120,118,Race the Sun (1996),Drama
121,119,"Boys of St. Vincent, The (1993)",Drama
122,120,Boomerang (1992),Comedy|Romance
123,121,Chungking Express (1994),Drama|Mystery|Romance
124,122,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
125,123,Flirting With Disaster (1996),Comedy
126,124,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
127,125,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
128,126,Jupiter's Wife (1994),Documentary
129,127,Pie in the Sky (1995),Comedy|Romance
130,128,Angela (1995),Drama
131,129,Frankie Starlight (1995),Drama|Romance
132,130,Jade (1995),Thriller
133,131,Nueba Yol (1995),Comedy|Drama
134,132,Sonic Outlaws (1995),Documentary
135,133,Down Periscope (1996),Comedy
136,134,From the Journals of Jean Seberg (1995),Documentary
137,135,Man of the Year (1995),Documentary
138,136,"Neon Bible, The (1995)",Drama
139,137,Target (1995),Action|Drama
140,138,Up Close and Personal (1996),Drama|Romance
141,139,"Birdcage, The (1996)",Comedy
142,140,Shadows (Cienie) (1988),Drama
143,141,Gospa (1995),Drama
144,142,"Brothers McMullen, The (1995)",Comedy
145,143,Bad Boys (1995),Action
146,144,"Amazing Panda Adventure, The (1995)",Adventure|Children's
147,145,"Basketball Diaries, The (1995)",Drama
148,146,"Awfully Big Adventure, An (1995)",Drama
149,147,Amateur (1994),Crime|Drama|Thriller
150,148,Apollo 13 (1995),Drama
151,149,Rob Roy (1995),Drama|Romance|War
152,150,"Addiction, The (1995)",Horror
153,151,Batman Forever (1995),Action|Adventure|Comedy|Crime
154,152,Belle de jour (1967),Drama
155,153,Beyond Rangoon (1995),Drama|War
156,154,Blue in the Face (1995),Comedy
157,155,Canadian Bacon (1994),Comedy|War
158,156,Casper (1995),Adventure|Children's
159,157,Clockers (1995),Drama
160,158,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,159,Crimson Tide (1995),Drama|Thriller|War
162,160,Crumb (1994),Documentary
163,161,Desperado (1995),Action|Romance|Thriller
164,162,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,163,Die Hard: With a Vengeance (1995),Action|Thriller
166,164,"Doom Generation, The (1995)",Comedy|Drama
167,165,Feast of July (1995),Drama
168,166,First Knight (1995),Action|Adventure|Drama|Romance
169,167,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
170,168,Hackers (1995),Action|Crime|Thriller
171,169,Jeffrey (1995),Comedy
172,170,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,171,Judge Dredd (1995),Action|Adventure|Sci-Fi
174,172,Jury Duty (1995),Comedy
175,173,Kids (1995),Drama
176,174,Living in Oblivion (1995),Comedy
177,175,Lord of Illusions (1995),Horror
178,176,Love & Human Remains (1993),Comedy
179,177,Mad Love (1995),Drama|Romance
180,178,Mallrats (1995),Comedy
181,179,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
182,180,Moonlight and Valentino (1995),Drama|Romance
183,181,Mute Witness (1994),Thriller
184,182,Nadja (1994),Drama
185,183,"Net, The (1995)",Sci-Fi|Thriller
186,184,Nine Months (1995),Comedy
187,185,Party Girl (1995),Comedy
188,186,"Prophecy, The (1995)",Horror
189,187,Reckless (1995),Comedy
190,188,Safe (1995),Thriller
191,189,"Scarlet Letter, The (1995)",Drama
192,190,"Show, The (1995)",Documentary
193,191,Showgirls (1995),Drama
194,192,Smoke (1995),Drama
195,193,Something to Talk About (1995),Comedy|Drama|Romance
196,194,Species (1995),Horror|Sci-Fi
197,195,"Stars Fell on Henrietta, The (1995)",Drama
198,196,Strange Days (1995),Action|Crime|Sci-Fi
199,197,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
200,198,"Tie That Binds, The (1995)",Thriller
201,199,Three Wishes (1995),Drama
202,200,Total Eclipse (1995),Drama|Romance
203,201,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
204,202,Under Siege 2: Dark Territory (1995),Action
205,203,Unstrung Heroes (1995),Comedy|Drama
206,204,Unzipped (1995),Documentary
207,205,"Walk in the Clouds, A (1995)",Drama|Romance
208,206,Waterworld (1995),Action|Adventure
209,207,White Man's Burden (1995),Drama
210,208,Wild Bill (1995),Western
211,209,"Browning Version, The (1994)",Drama
212,210,Bushwhacked (1995),Comedy
213,211,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
214,212,Before the Rain (Pred dozhdot) (1994),Drama
215,213,Before Sunrise (1995),Drama|Romance
216,214,Billy Madison (1995),Comedy
217,215,"Babysitter, The (1995)",Drama|Thriller
218,216,Boys on the Side (1995),Comedy|Drama
219,217,"Cure, The (1995)",Drama
220,218,Castle Freak (1995),Horror
222,219,Circle of Friends (1995),Drama|Romance
223,220,Clerks (1994),Comedy
224,221,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,222,Disclosure (1994),Drama|Thriller
226,223,Dream Man (1995),Thriller
227,224,Drop Zone (1994),Action
228,225,Destiny Turns on the Radio (1995),Comedy
229,226,Death and the Maiden (1994),Drama|Thriller
230,227,Dolores Claiborne (1994),Drama|Thriller
231,228,Dumb & Dumber (1994),Comedy
232,229,Eat Drink Man Woman (1994),Comedy|Drama
233,230,Exotica (1994),Drama
234,231,Exit to Eden (1994),Comedy
235,232,Ed Wood (1994),Comedy|Drama
236,233,French Kiss (1995),Comedy|Romance
237,234,Forget Paris (1995),Comedy|Romance
238,235,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
239,236,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
240,237,Hideaway (1995),Thriller
241,238,Fluke (1995),Children's|Drama
242,239,Farinelli: il castrato (1994),Drama|Musical
243,240,Gordy (1995),Comedy
244,241,Gumby: The Movie (1995),Animation|Children's
245,242,"Glass Shield, The (1994)",Crime|Drama
246,243,Hoop Dreams (1994),Documentary
247,244,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
248,245,Houseguest (1994),Comedy
249,246,Immortal Beloved (1994),Drama|Romance
250,247,Heavyweights (1994),Children's|Comedy
251,248,"Hunted, The (1995)",Action
252,249,I.Q. (1994),Comedy|Romance
253,250,Interview with the Vampire (1994),Drama|Horror
254,251,Jefferson in Paris (1995),Drama
255,252,"Jerky Boys, The (1994)",Comedy
256,253,Junior (1994),Comedy|Sci-Fi
257,254,Just Cause (1995),Mystery|Thriller
258,255,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
259,256,Kiss of Death (1995),Crime|Drama|Thriller
260,257,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
261,258,Little Women (1994),Drama
262,259,"Little Princess, A (1995)",Children's|Drama
263,260,Ladybird Ladybird (1994),Drama
264,261,"Enfer, L' (1994)",Drama
265,262,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
266,263,Legends of the Fall (1994),Drama|Romance|War|Western
267,264,Major Payne (1994),Comedy
268,265,Little Odessa (1994),Drama
269,266,My Crazy Life (Mi vida loca) (1993),Drama
270,267,Love Affair (1994),Drama|Romance
271,268,Losing Isaiah (1995),Drama
272,269,"Madness of King George, The (1994)",Drama
273,270,Mary Shelley's Frankenstein (1994),Drama|Horror
274,271,Man of the House (1995),Comedy
275,272,Mixed Nuts (1994),Comedy
276,273,Milk Money (1994),Comedy|Romance
277,274,Miracle on 34th Street (1994),Drama
278,275,Miami Rhapsody (1995),Comedy
279,276,My Family (1995),Drama
280,277,Murder in the First (1995),Drama|Thriller
281,278,Nobody's Fool (1994),Drama
282,279,Nell (1994),Drama
283,280,New Jersey Drive (1995),Crime|Drama
284,281,New York Cop (1996),Action|Crime
285,282,Beyond Bedlam (1993),Drama|Horror
286,283,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
287,284,Nina Takes a Lover (1994),Comedy|Romance
288,285,Natural Born Killers (1994),Action|Thriller
289,286,Only You (1994),Comedy|Romance
290,287,Once Were Warriors (1994),Crime|Drama
291,288,Poison Ivy II (1995),Thriller
292,289,Outbreak (1995),Action|Drama|Thriller
293,290,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
294,291,"Perez Family, The (1995)",Comedy|Romance
295,292,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
296,293,Pulp Fiction (1994),Crime|Drama
297,294,Panther (1995),Drama
298,295,Pushing Hands (1992),Comedy
299,296,Priest (1994),Drama
300,297,Quiz Show (1994),Drama
301,298,Picture Bride (1995),Drama|Romance
302,299,Queen Margot (La Reine Margot) (1994),Drama|Romance
303,300,"Quick and the Dead, The (1995)",Action|Adventure|Western
304,301,Roommates (1995),Comedy|Drama
305,302,Ready to Wear (Pret-A-Porter) (1994),Comedy
306,303,Three Colors: Red (1994),Drama
307,304,Three Colors: Blue (1993),Drama
308,305,Three Colors: White (1994),Drama
309,306,"Red Firecracker, Green Firecracker (1994)",Drama
310,307,Rent-a-Kid (1995),Comedy
311,308,Relative Fear (1994),Horror|Thriller
312,309,Stuart Saves His Family (1995),Comedy
313,310,"Swan Princess, The (1994)",Animation|Children's
314,311,"Secret of Roan Inish, The (1994)",Drama
315,312,"Specialist, The (1994)",Action
316,313,Stargate (1994),Action|Adventure|Sci-Fi
317,314,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
318,315,"Shawshank Redemption, The (1994)",Drama
319,316,Shallow Grave (1994),Thriller
320,317,Suture (1993),Film-Noir|Thriller
321,318,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
322,319,Swimming with Sharks (1995),Comedy|Drama
324,320,"Sum of Us, The (1994)",Comedy
325,321,National Lampoon's Senior Trip (1995),Comedy
326,322,To Live (Huozhe) (1994),Drama
327,323,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
328,324,Tales From the Crypt Presents: Demon Knight (1995),Horror
329,325,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
330,326,Tales from the Hood (1995),Comedy|Horror
331,327,Tom & Viv (1994),Drama
332,328,Village of the Damned (1995),Horror|Sci-Fi
333,329,Tommy Boy (1995),Comedy
334,330,Vanya on 42nd Street (1994),Drama
335,331,"Underneath, The (1995)",Mystery|Thriller
336,332,"Walking Dead, The (1995)",Drama|War
337,333,What's Eating Gilbert Grape (1993),Drama
338,334,Virtuosity (1995),Sci-Fi|Thriller
339,335,While You Were Sleeping (1995),Comedy|Romance
340,336,"War, The (1994)",Adventure|Drama
341,337,Double Happiness (1994),Drama
342,338,Muriel's Wedding (1994),Comedy|Romance
343,339,"Baby-Sitters Club, The (1995)",Children's
344,340,Ace Ventura: Pet Detective (1994),Comedy
345,341,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,342,Backbeat (1993),Drama|Musical
347,343,Bitter Moon (1992),Drama
348,344,Bullets Over Broadway (1994),Comedy
349,345,Clear and Present Danger (1994),Action|Adventure|Thriller
350,346,"Client, The (1994)",Drama|Mystery|Thriller
351,347,"Corrina, Corrina (1994)",Comedy|Drama|Romance
352,348,Crooklyn (1994),Comedy
353,349,"Crow, The (1994)",Action|Romance|Thriller
354,350,Cobb (1994),Drama
355,351,"Flintstones, The (1994)",Children's|Comedy
356,352,Forrest Gump (1994),Comedy|Romance|War
357,353,Four Weddings and a Funeral (1994),Comedy|Romance
358,354,Higher Learning (1995),Drama
359,355,I Like It Like That (1994),Comedy|Drama|Romance
360,356,I Love Trouble (1994),Action|Comedy
361,357,It Could Happen to You (1994),Drama|Romance
362,358,"Jungle Book, The (1994)",Adventure|Children's|Romance
363,359,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
364,360,"Lion King, The (1994)",Animation|Children's|Musical
365,361,Little Buddha (1993),Drama
366,362,Wes Craven's New Nightmare (1994),Horror
367,363,"Mask, The (1994)",Comedy|Crime|Fantasy
368,364,Maverick (1994),Action|Comedy|Western
369,365,Mrs. Parker and the Vicious Circle (1994),Drama
370,366,Naked Gun 33 1/3: The Final Insult (1994),Comedy
371,367,"Paper, The (1994)",Comedy|Drama
372,368,Reality Bites (1994),Comedy|Drama
373,369,Red Rock West (1992),Thriller
374,370,Richie Rich (1994),Children's|Comedy
375,371,Safe Passage (1994),Drama
376,372,"River Wild, The (1994)",Action|Thriller
377,373,Speed (1994),Action|Romance|Thriller
378,374,Speechless (1994),Comedy|Romance
379,375,Timecop (1994),Action|Sci-Fi
380,376,True Lies (1994),Action|Adventure|Comedy|Romance
381,377,When a Man Loves a Woman (1994),Drama
382,378,Wolf (1994),Drama|Horror
383,379,Wyatt Earp (1994),Western
384,380,Bad Company (1995),Action
385,381,"Man of No Importance, A (1994)",Drama
386,382,S.F.W. (1994),Drama
387,383,"Low Down Dirty Shame, A (1994)",Action|Comedy
388,384,Boys Life (1995),Drama
389,385,"Colonel Chabert, Le (1994)",Drama|Romance|War
390,386,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
391,387,Jason's Lyric (1994),Crime|Drama
392,388,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
393,389,Street Fighter (1994),Action
394,390,Coldblooded (1995),Action
395,391,Desert Winds (1995),Drama
396,392,Fall Time (1995),Drama
397,393,"Fear, The (1995)",Horror
398,394,Frank and Ollie (1995),Documentary
399,395,Girl in the Cadillac (1995),Drama
400,396,Homage (1995),Drama
401,397,Mirage (1995),Action|Thriller
402,398,Open Season (1996),Comedy
403,399,Two Crimes (1995),Comedy|Crime|Drama
404,400,Brother Minister: The Assassination of Malcolm X (1994),Documentary
405,401,Highlander III: The Sorcerer (1994),Action|Sci-Fi
406,402,Federal Hill (1994),Drama
407,403,In the Mouth of Madness (1995),Horror|Thriller
408,404,8 Seconds (1994),Drama
409,405,Above the Rim (1994),Drama
410,406,Addams Family Values (1993),Comedy
411,407,You So Crazy (1994),Comedy
412,408,"Age of Innocence, The (1993)",Drama
413,409,Airheads (1994),Comedy
414,410,"Air Up There, The (1994)",Comedy
415,411,Another Stakeout (1993),Comedy|Thriller
416,412,Bad Girls (1994),Western
417,413,Barcelona (1994),Comedy|Romance
418,414,Being Human (1993),Drama
419,415,"Beverly Hillbillies, The (1993)",Comedy
420,416,Beverly Hills Cop III (1994),Action|Comedy
421,417,Black Beauty (1994),Adventure|Children's
422,418,Blink (1994),Thriller
423,419,Blown Away (1994),Action|Thriller
424,420,Blue Chips (1994),Drama
425,421,Blue Sky (1994),Drama|Romance
426,422,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427,423,Boxing Helena (1993),Mystery|Romance|Thriller
428,424,"Bronx Tale, A (1993)",Drama
429,425,Cabin Boy (1994),Comedy
430,426,Calendar Girl (1993),Drama
431,427,Carlito's Way (1993),Crime|Drama
432,428,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
433,429,Clean Slate (1994),Comedy
434,430,Cliffhanger (1993),Action|Adventure|Crime
435,431,Coneheads (1993),Comedy|Sci-Fi
436,432,Color of Night (1994),Drama|Thriller
437,433,Cops and Robbersons (1994),Comedy
438,434,"Cowboy Way, The (1994)",Action|Comedy
439,435,Dangerous Game (1993),Drama
440,436,Dave (1993),Comedy|Romance
441,437,Dazed and Confused (1993),Comedy
442,438,Demolition Man (1993),Action|Sci-Fi
443,439,"Endless Summer 2, The (1994)",Documentary
444,440,Even Cowgirls Get the Blues (1993),Comedy|Romance
445,441,Fatal Instinct (1993),Comedy
446,442,Farewell My Concubine (1993),Drama|Romance
447,443,"Favor, The (1994)",Comedy|Romance
448,444,Fearless (1993),Drama
449,445,Fear of a Black Hat (1993),Comedy
450,446,With Honors (1994),Comedy|Drama
451,447,Flesh and Bone (1993),Drama|Mystery|Romance
452,448,Widows' Peak (1994),Drama
453,449,For Love or Money (1993),Comedy
454,450,"Firm, The (1993)",Drama|Thriller
455,451,Free Willy (1993),Adventure|Children's|Drama
456,452,Fresh (1994),Drama
457,453,"Fugitive, The (1993)",Action|Thriller
458,454,Geronimo: An American Legend (1993),Drama|Western
459,455,"Getaway, The (1994)",Action
460,456,Getting Even with Dad (1994),Comedy
461,457,Go Fish (1994),Drama|Romance
462,458,"Good Man in Africa, A (1994)",Action|Adventure
463,459,Guilty as Sin (1993),Crime|Drama|Thriller
464,460,Hard Target (1993),Action|Adventure|Crime|Thriller
465,461,Heaven & Earth (1993),Action|Drama|War
466,462,Hot Shots! Part Deux (1993),Action|Comedy|War
467,463,Live Nude Girls (1995),Comedy
468,464,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
469,465,"House of the Spirits, The (1993)",Drama|Romance
470,466,House Party 3 (1994),Comedy
471,467,"Hudsucker Proxy, The (1994)",Comedy|Romance
472,468,I'll Do Anything (1994),Comedy|Drama
473,469,In the Army Now (1994),Comedy|War
474,470,In the Line of Fire (1993),Action|Thriller
475,471,In the Name of the Father (1993),Drama
476,472,"Inkwell, The (1994)",Comedy|Drama
477,473,What's Love Got to Do with It? (1993),Drama
478,474,Jimmy Hollywood (1994),Comedy
479,475,Judgment Night (1993),Action
480,476,Jurassic Park (1993),Action|Adventure|Sci-Fi
481,477,Kalifornia (1993),Drama|Thriller
482,478,Killing Zoe (1994),Thriller
483,479,King of the Hill (1993),Drama
484,480,Lassie (1994),Adventure|Children's
485,481,Last Action Hero (1993),Action|Comedy
486,482,Life with Mikey (1993),Comedy
487,483,Lightning Jack (1994),Comedy|Western
488,484,M. Butterfly (1993),Drama
489,485,Made in America (1993),Comedy
490,486,Malice (1993),Thriller
491,487,"Man Without a Face, The (1993)",Drama
492,488,Manhattan Murder Mystery (1993),Comedy|Mystery
493,489,Menace II Society (1993),Action|Crime|Drama
494,490,Executive Decision (1996),Action|Thriller
495,491,In the Realm of the Senses (Ai no corrida) (1976),Drama
496,492,What Happened Was... (1994),Comedy|Drama|Romance
497,493,Much Ado About Nothing (1993),Comedy|Romance
498,494,Mr. Jones (1993),Drama|Romance
499,495,Mr. Wonderful (1993),Comedy|Romance
500,496,Mrs. Doubtfire (1993),Comedy
501,497,Naked (1993),Drama
502,498,"Next Karate Kid, The (1994)",Action|Children's
503,499,"New Age, The (1994)",Drama
504,500,No Escape (1994),Action|Sci-Fi
505,501,North (1994),Comedy
506,502,Orlando (1993),Drama
507,503,"Perfect World, A (1993)",Action|Drama
508,504,Philadelphia (1993),Drama
509,505,"Piano, The (1993)",Drama|Romance
510,506,Poetic Justice (1993),Drama
511,507,"Program, The (1993)",Action|Drama
512,508,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi
513,509,Radioland Murders (1994),Comedy|Mystery|Romance
514,510,"Ref, The (1994)",Comedy
515,511,"Remains of the Day, The (1993)",Drama
516,512,Renaissance Man (1994),Comedy|Drama|War
517,513,Rising Sun (1993),Action|Drama|Mystery
518,514,"Road to Wellville, The (1994)",Comedy
519,515,Robocop 3 (1993),Sci-Fi|Thriller
520,516,Robin Hood: Men in Tights (1993),Comedy
521,517,Romeo Is Bleeding (1993),Crime|Thriller
522,518,Romper Stomper (1992),Action|Drama
523,519,Ruby in Paradise (1993),Drama
524,520,Rudy (1993),Drama
525,521,"Saint of Fort Washington, The (1993)",Drama
526,522,"Savage Nights (Nuits fauves, Les) (1992)",Drama
527,523,Schindler's List (1993),Drama|War
528,524,"Scout, The (1994)",Drama
529,525,Searching for Bobby Fischer (1993),Drama
530,526,Second Best (1994),Drama
531,527,"Secret Garden, The (1993)",Children's|Drama
532,528,Serial Mom (1994),Comedy|Crime|Horror
533,529,"Shadow, The (1994)",Action
534,530,Shadowlands (1993),Drama|Romance
535,531,Short Cuts (1993),Drama
536,532,"Simple Twist of Fate, A (1994)",Drama
537,533,Sirens (1994),Comedy|Drama
538,534,Six Degrees of Separation (1993),Drama
539,535,Sleepless in Seattle (1993),Comedy|Romance
540,536,Sliver (1993),Thriller
541,537,Blade Runner (1982),Film-Noir|Sci-Fi
542,538,Son in Law (1993),Comedy
543,539,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
544,540,Striking Distance (1993),Action
545,541,Harlem (1993),Drama
546,542,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi
547,543,Surviving the Game (1994),Action|Adventure|Thriller
548,544,Terminal Velocity (1994),Action
549,545,Thirty-Two Short Films About Glenn Gould (1993),Documentary
550,546,Threesome (1994),Comedy|Romance
551,547,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
552,548,"Three Musketeers, The (1993)",Action|Adventure|Comedy
553,549,Tombstone (1993),Western
554,550,Trial by Jury (1994),Thriller
555,551,True Romance (1993),Action|Crime|Romance
556,552,"War Room, The (1993)",Documentary
557,553,Mamma Roma (1962),Drama
558,554,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy
559,555,"Paris, France (1993)",Comedy
560,556,"Beans of Egypt, Maine, The (1994)",Drama
561,557,Killer (Bulletproof Heart) (1994),Thriller
562,558,Welcome to the Dollhouse (1995),Comedy|Drama
563,559,Germinal (1993),Drama
564,560,Chasers (1994),Comedy
565,561,Cronos (1992),Horror
566,562,Naked in New York (1994),Comedy|Romance
567,563,Kika (1993),Drama
568,564,Bhaji on the Beach (1993),Comedy|Drama
569,565,Little Big League (1994),Children's|Comedy
570,566,"Slingshot, The (Kådisbellan ) (1993)",Comedy|Drama
571,567,"Wedding Gift, The (1994)",Drama
572,568,Foreign Student (1994),Drama
573,569,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
574,570,Spanking the Monkey (1994),Comedy|Drama
575,571,"Little Rascals, The (1994)",Children's|Comedy
576,572,Fausto (1993),Comedy
577,573,Andre (1994),Adventure|Children's
578,574,"Hour of the Pig, The (1993)",Drama|Mystery
579,575,"Scorta, La (1993)",Thriller
580,576,Princess Caraboo (1994),Drama
581,577,"Celluloid Closet, The (1995)",Documentary
582,578,Metisse (Café au Lait) (1993),Comedy
583,579,Dear Diary (Caro Diario) (1994),Comedy|Drama
584,580,I Don't Want to Talk About It (De eso no se habla) (1993),Drama
585,581,"Brady Bunch Movie, The (1995)",Comedy
